"contrast","metabolite","activity","beta","se","numDF","denDF","F.value","p.value","lowerCL","upperCL","p.adjustBH","sig"
"KO","3-HYDROXYBUTYRIC","Rest",1.4316904279164,0.690893038052326,1,38,4.29414405745002,0.0450791218037426,0.0775649561643761,2.78581589966842,0.122943059464753,FALSE
"KO","arginine","Rest",0.169686382514711,0.672734404620942,1,38,0.0636219102938966,0.80221965857058,-1.14884882170333,1.48822158673275,0.859521062754193,FALSE
"KO","CITRIC","Rest",-0.815358093233205,0.690979433140268,1,38,1.3924080677212,0.245333289143933,-2.16965289624603,0.538936709779621,0.387368351279895,FALSE
"KO","FUMARIC","Rest",-0.503423928418957,0.690886687137957,1,38,0.530950531807847,0.470674589348408,-1.85753695260754,0.85068909576963,0.58834323668551,FALSE
"KO","glutamine","Rest",0.230337501558346,0.672752116196594,1,38,0.117224707696609,0.73395082589403,-1.08823241671008,1.54890741982678,0.815500917660033,FALSE
"KO","isoleucine","Rest",-0.623733735796282,0.672716865965613,1,38,0.859674087291261,0.359681772607107,-1.94223456488154,0.694767093288979,0.490475144464236,FALSE
"KO","LACTIC","Rest",-0.887391283010988,0.690932426024975,1,38,1.64952600480836,0.206798579003963,-2.24159395377082,0.466811387748849,0.364423211759987,FALSE
"KO","LCAC total","Rest",2.15993785632943,0.672752877606713,1,38,10.3079281880131,0.00269455013885463,0.841366445724586,3.47850926693426,0.0134727506942731,TRUE
"KO","leucine","Rest",-1.05279446217498,0.672771194402929,1,38,2.44879487173107,0.125905849322246,-2.37140177304071,0.265812848690759,0.26979824854767,FALSE
"KO","MALIC","Rest",-0.74477013709233,0.691045530158949,1,38,1.16153201486506,0.28794235230935,-2.09919448788126,0.609654213696598,0.431913528464024,FALSE
"KO","MCAC Total","Rest",-1.34506797642496,0.672711635062769,1,38,3.99788767269757,0.0527445650433635,-2.66355855312903,-0.0265773997208765,0.131861412608409,FALSE
"KO","METHYLSUCCINIC","Rest",-0.877901836038691,0.690950552213714,1,38,1.61435104103141,0.21160531413046,-2.23214003347563,0.47633636139825,0.364423211759987,FALSE
"KO","PYRUVIC_P2P","Rest",-1.0997612269461,0.756835462511604,1,38,2.1115134966553,0.154403487291367,-2.58313147569156,0.383609021799362,0.308806974582734,FALSE
"KO","SUCCINIC-2","Rest",-0.66985241500031,0.69101107213012,1,38,0.939697870296084,0.3384854396825,-2.02420922929376,0.684504399293135,0.483550628117857,FALSE
"KO","valine","Rest",-0.377932218949805,0.672778700901434,1,38,0.31556103138613,0.577586053532277,-1.69655424228226,0.94068980438265,0.666445446383396,FALSE
"KO","3-HYDROXYBUTYRIC","Exercise",-1.7006751518324,0.559434756315179,1,38,9.24152927735074,0.00426836895236726,-2.79714712591009,-0.604203177754703,0.0182930097958597,TRUE
"KO","arginine","Exercise",0.649654005810627,0.51939037471936,1,38,1.56450316915707,0.218653927055992,-0.368332422556081,1.66764043417734,0.364423211759987,FALSE
"KO","CITRIC","Exercise",-1.365447108295,0.59560942429866,1,38,5.25565249920164,0.027503127787409,-2.532820128773,-0.198074087816987,0.0916770926246966,FALSE
"KO","FUMARIC","Exercise",-1.01657982767515,0.596454261156622,1,38,2.90488326103867,0.0964765376905455,-2.18560869796758,0.152449042617277,0.222638163901259,FALSE
"KO","glutamine","Exercise",-0.0570694201158339,0.579026903257444,1,38,0.00971425353027488,0.922004993738908,-1.19194129658018,1.07780245634851,0.922004993738908,FALSE
"KO","isoleucine","Exercise",-0.0912112366952492,0.565181510388875,1,38,0.0260447862173221,0.872645986849317,-1.1989466417854,1.0165241683949,0.902737227775155,FALSE
"KO","LACTIC","Exercise",-1.27160660945038,0.585385566275097,1,38,4.71869094030698,0.0361428881798043,-2.41894123641915,-0.124271982481602,0.108428664539413,FALSE
"KO","LCAC total","Exercise",2.86765963091364,0.583117794246506,1,38,24.1848064697173,1.71571664320123e-05,1.72476975544606,4.01054950638123,0.000257357496480185,TRUE
"KO","leucine","Exercise",2.37418189778327,0.559025067454905,1,38,18.0370460179505,0.000134791637849815,1.27851289911659,3.46985089644996,0.00134791637849815,TRUE
"KO","MALIC","Exercise",-1.44312206465866,0.56906983195812,1,38,6.43094814574867,0.015447777429111,-2.55847843998483,-0.327765689332483,0.0579291653591662,FALSE
"KO","MCAC Total","Exercise",-2.06453233081721,0.586750013527665,1,38,12.3804707993269,0.001143236253184,-3.21454122525982,-0.914523436374597,0.00857427189887998,TRUE
"KO","METHYLSUCCINIC","Exercise",-0.366803791953397,0.597635501222724,1,38,0.376699338529544,0.543031955742345,-1.53814785023248,0.804540266325685,0.651638346890814,FALSE
"KO","PYRUVIC_P2P","Exercise",-0.539685871395456,0.681889077523936,1,38,0.626404154448469,0.433590018568657,-1.87616390479361,0.796792162002699,0.56555219813303,FALSE
"KO","SUCCINIC-2","Exercise",-2.98455284161929,0.560449586097335,1,38,28.3586426107137,4.78730404557164e-06,-4.08301384552045,-1.88609183771813,0.000143619121367149,TRUE
"KO","valine","Exercise",2.07654550985032,0.60532666476619,1,38,11.7680172688157,0.00146596015884059,0.890127048026834,3.2629639716738,0.00879576095304355,TRUE
