"term","estimate","std.error","statistic","p.value","p.valueBH","sig"
"genotypeKO",-0.303872522333943,0.430300756916946,-0.706186353264061,0.484165429852942,0.558652419061087,FALSE
"genotypeKO:metabolitearginine",0.767672522792495,0.59785766284977,1.28403894521194,0.199675931913731,0.371924111526199,FALSE
"genotypeKO:metaboliteCITRIC",-0.900397004001475,0.607031031362683,-1.48328002603135,0.138580194518084,0.34645048629521,FALSE
"genotypeKO:metaboliteFUMARIC",-0.499216429924365,0.586126771201277,-0.851720915086701,0.394744477062567,0.558652419061087,FALSE
"genotypeKO:metaboliteglutamine",0.39534206768837,0.561171909916724,0.704493686697607,0.4814274131961,0.558652419061087,FALSE
"genotypeKO:metaboliteisoleucine",-0.146859860504848,0.586813142901242,-0.250266822209815,0.802475671114122,0.844746191804966,FALSE
"genotypeKO:metaboliteLACTIC",-0.695438733643787,0.570229130242233,-1.21957770440168,0.223154466915719,0.371924111526199,FALSE
"genotypeKO:metaboliteLCAC total",2.81538473943186,0.598228533838411,4.70620269709891,3.20683643333022e-06,4.81025464999534e-05,TRUE
"genotypeKO:metaboliteleucine",0.830318167102368,0.606287029585688,1.36951332716086,0.17140497579343,0.367296376700206,FALSE
"genotypeKO:metaboliteMALIC",-0.946862184803539,0.586715262213769,-1.6138359537996,0.10714395230338,0.34645048629521,FALSE
"genotypeKO:metaboliteMCAC Total",-1.32938987147489,0.598902560317539,-2.21970978178828,0.0268507731887236,0.134253865943618,FALSE
"genotypeKO:metaboliteMETHYLSUCCINIC",-0.118463256654246,0.604651613262177,-0.19591985542736,0.844746191804966,0.844746191804966,FALSE
"genotypeKO:metabolitePYRUVIC_P2P",-0.462259472078101,0.622783578624739,-0.742247368016486,0.458258418236818,0.558652419061087,FALSE
"genotypeKO:metaboliteSUCCINIC-2",-1.48163560980211,0.598478201523096,-2.47567180564209,0.0136024861746984,0.102018646310238,FALSE
"genotypeKO:metabolitevaline",0.919788856319216,0.609087875638772,1.51010862817553,0.131597376392706,0.34645048629521,FALSE
