"term","estimate","std.error","statistic","p.value","p.adjustBH","sig"
"conditionExercise",2.34938176699269,0.856549819970772,2.74284310406236,0.00924021760400454,0.0660908114092683,FALSE
"genotypeKO:conditionExercise",-2.44117263922911,1.23572076044407,-1.97550507960379,0.0555064453075238,0.135682421862836,FALSE
"conditionExercise:metabolite3HMG",-2.73178223480941,1.13131211320116,-2.41470254135223,0.0159792727294006,0.0703088000093628,FALSE
"conditionExercise:metaboliteacetylcarnitine",-2.57522141554483,1.13131211320117,-2.2763138354967,0.023099891012816,0.0725996574688503,FALSE
"conditionExercise:metabolitebutyrylcarnitine",-2.98989286212304,1.13131211320116,-2.64285410474642,0.00838746448746345,0.0660908114092683,FALSE
"conditionExercise:metaboliteC101total",-1.98435136406548,1.15890862051986,-1.7122586966135,0.0872500673811074,0.181982254215349,FALSE
"conditionExercise:metaboliteC12",-2.49991231585525,1.13131211320117,-2.2097459106855,0.0274151689901628,0.0804178290378109,FALSE
"conditionExercise:metaboliteC141total",-2.61953790285611,1.13131211320117,-2.31548648006946,0.0208472502354387,0.0705599238737927,FALSE
"conditionExercise:metaboliteC142total",-2.84820164067111,1.13131211320117,-2.51760907307164,0.0120165111653215,0.0660908114092683,FALSE
"conditionExercise:metaboliteC151total",-2.73790239721778,1.13131211320116,-2.42011233263525,0.0157453124767813,0.0703088000093628,FALSE
"conditionExercise:metaboliteC161total",-3.25217975132563,1.14742378988868,-2.83433181356745,0.0047119193365796,0.0660908114092683,FALSE
"conditionExercise:metaboliteC171total",-2.91382517589083,1.13131211320117,-2.57561564301283,0.0101908669608833,0.0660908114092683,FALSE
"conditionExercise:metaboliteC181total",-2.89456361307633,1.14742378988868,-2.5226630636246,0.0118466189107976,0.0660908114092683,FALSE
"conditionExercise:metaboliteC182total",-3.65402684780284,1.14742378988868,-3.18454862100892,0.00150793553255295,0.0660908114092683,FALSE
"conditionExercise:metaboliteC191total",-2.41746351870106,1.14742378988868,-2.10686194586883,0.0354511973799085,0.0974907927947485,FALSE
"conditionExercise:metabolitecarnitine",-0.954063987893825,1.13131211320117,-0.843325176811023,0.399307483989852,0.465893587581345,FALSE
"conditionExercise:metaboliteethylmalonylcarnitine",0.377382172332784,1.13131211320117,0.333579184673398,0.738787592762168,0.792845221500863,FALSE
"conditionExercise:metaboliteisobutyrylcarnitine",-1.32175493014656,1.15890862051986,-1.14051695426483,0.254424230707885,0.344480983578692,FALSE
"conditionExercise:metabolitemethylsuccinylcarnitine",1.27963536915714,1.13131211320117,1.13110728173526,0.258360737684019,0.344480983578692,FALSE
"conditionExercise:metabolitendecanoylcarnitine",-3.10984658251379,1.13131211320117,-2.74888472086996,0.00611935856473542,0.0660908114092683,FALSE
"conditionExercise:metabolitenhexanoylcarnitine",-2.27137084501501,1.13131211320117,-2.00773139305291,0.0450193932130451,0.116520782433764,FALSE
"conditionExercise:metabolitenoctanoylcarnitine",-1.71340113539219,1.13131211320116,-1.51452558087082,0.130301357726627,0.226953382691474,FALSE
"conditionExercise:metabolitepropionylcarnitine",-0.560522757991786,1.13131211320116,-0.495462526610564,0.620414485083293,0.682455933591623,FALSE
"genotypeKO:conditionExercise:metabolite3HMG",2.63988965064673,1.62836906700532,1.6211863171177,0.105385488000342,0.193206728000628,FALSE
"genotypeKO:conditionExercise:metaboliteacetylcarnitine",1.83282156538229,1.6179784474676,1.13278490714815,0.257655826940455,0.344480983578692,FALSE
"genotypeKO:conditionExercise:metabolitebutyrylcarnitine",1.5928200542434,1.61794272976989,0.984472456864985,0.325191299460952,0.420835799302408,FALSE
"genotypeKO:conditionExercise:metaboliteC101total",2.38143497850626,1.63778593724443,1.45405753239829,0.146336243358633,0.229956953849281,FALSE
"genotypeKO:conditionExercise:metaboliteC12",2.67232567015456,1.62832693312903,1.64114811085226,0.101173452936262,0.193206728000628,FALSE
"genotypeKO:conditionExercise:metaboliteC141total",2.75567796003314,1.62835928742975,1.69230340091761,0.0909911271076744,0.181982254215349,FALSE
